Type,Area(m2),Price(VNĐ),Bedroom(Phòng),Floor(Tầng),Furniture,Legal,Posting date,District,Project
Nhà riêng,56,,3,3,Không có thông tin,Không có thông tin,5/24/2025,11,Không
Nhà riêng,53.3,5600000000,4,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/26/2025,8,Không
Nhà riêng,81,,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/29/2025,1,Không
Căn hộ chung cư,109,,3,3,Nội thất cơ bản,Hợp đồng mua bán,6/7/2025,1,Dự án Lancaster Legacy
Đất bán,90,7500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/20/2025,7,Không
Căn hộ chung cư,59,3300000000,2,3,Không có thông tin,Không có thông tin,4/26/2025,9,Không
"Nhà biệt thự, liền kề",126,44500000000,4,3,Nội thất sang trọng,Sổ đỏ,4/25/2025,7,Dự án Mỹ Giang 1&2
"Nhà biệt thự, liền kề",200,25750000000,3,3,Không nội thất,Hợp đồng mua bán,4/26/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,92,5000000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,6/4/2025,7,Dự án Richlane Residence
Nhà riêng,30,4680000000,3,4,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,8,Không
"Nhà biệt thự, liền kề",240,35000000000,3,3,Không có thông tin,Không có thông tin,5/19/2025,9,Dự án Verosa Park
Nhà riêng,29,3550000000,2,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,7,Không
"Nhà biệt thự, liền kề",95,16800000000,3,3,Không có thông tin,Không có thông tin,6/6/2025,9,Dự án The Classia
"Nhà biệt thự, liền kề",160,31000000000,3,4,Không có thông tin,Không có thông tin,5/29/2025,9,Không
Căn hộ chung cư,102,,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/7/2025,7,Dự án Belleza Apartment
Đất bán,270,10400000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,62,2650000000,2,3,Nội thất cơ bản,Không có thông tin,4/26/2025,8,Dự án Felisa Riverside
Đất bán,80,11000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,8,Không
Đất bán,90,12500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/23/2025,8,Không
Nhà riêng,60,7750000000,4,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/10/2025,8,Không
Căn hộ chung cư,102,3900000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/25/2025,7,Không
Căn hộ chung cư,57,2150000000,2,3,Không nội thất,Hợp đồng mua bán,4/26/2025,7,Dự án Q7 Boulevard
Đất bán,56,4500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Nhà mặt phố,72,,3,4,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,1,Không
"Nhà biệt thự, liền kề",200,18000000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,110,8000000000,2,3,Không có thông tin,Sổ hồng,4/26/2025,11,Dự án The EverRich I
Nhà riêng,128,7090000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,6/7/2025,12,Không
Căn hộ chung cư,145,28690000000,4,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/18/2025,1,Không
Căn hộ chung cư,59,2150000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/7/2025,2,Không
Căn hộ chung cư,61,1900000000,2,3,Không có thông tin,Hợp đồng mua bán,4/21/2025,2,Dự án Blue Sky Tower
Căn hộ chung cư,79,19500000000,2,3,Nội thất sang trọng,Hợp đồng mua bán,6/4/2025,2,Dự án The Opera Residence
Đất bán,93.5,7480000000,-1,-1,Không có thông tin,Hợp đồng mua bán,4/26/2025,7,Không
Đất bán,100,,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/17/2025,12,Không
Đất bán,100,,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/30/2025,12,Không
Căn hộ chung cư,250,12000000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,6/2/2025,2,Dự án New City Thủ Thiêm
"Nhà biệt thự, liền kề",84,16700000000,4,5,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/23/2025,9,Không
Căn hộ chung cư,60,2500000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/31/2025,2,Không
Căn hộ chung cư,106,10200000000,3,3,Nội thất đầy đủ,Không có thông tin,5/20/2025,2,Dự án Feliz En Vista
Nhà riêng,47,4160000000,3,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/25/2025,12,Không
Đất bán,95,4200000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/27/2025,12,Không
Nhà riêng,90,5500000000,2,1,Không có thông tin,Sổ đỏ và sổ hồng,5/7/2025,7,Không
Nhà riêng,135,10600000000,7,3,Không có thông tin,Sổ đỏ và sổ hồng,6/6/2025,7,Không
Căn hộ chung cư,131,8500000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,2,Không
Nhà riêng,75,17000000000,6,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,7,Không
Đất nền dự án,160,36800000000,-1,-1,Không có thông tin,Không có thông tin,6/4/2025,2,Dự án Huy Hoàng
Nhà mặt phố,80,17500000000,6,6,Không có thông tin,Không có thông tin,4/26/2025,7,Không
Nhà mặt phố,165,13500000000,4,5,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,108,12000000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/8/2025,7,Dự án The Antonia
Đất bán,200,6600000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,53,2400000000,2,3,Không nội thất,Hợp đồng mua bán,5/16/2025,2,Không
Căn hộ chung cư,73,2350000000,2,3,Không có thông tin,Không có thông tin,4/26/2025,8,Dự án City Gate Towers
Căn hộ chung cư,157,9550000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,2,Không
Căn hộ chung cư,90,3000000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/30/2025,7,Dự án The Era Town
Căn hộ chung cư,87.13,5800000000,3,3,Không có thông tin,Không có thông tin,5/8/2025,7,Dự án Eco Green Sài Gòn
Căn hộ chung cư,90,2850000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,6/7/2025,7,Dự án The Era Town
Nhà mặt phố,70,8900000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/22/2025,8,Không
Nhà mặt phố,40,14000000000,4,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/23/2025,1,Không
Nhà mặt phố,200,27500000000,3,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Đất bán,100,6000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Đất bán,104,3900000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/31/2025,12,Không
Nhà riêng,70,,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,5,Không
Nhà riêng,55,15500000000,6,3,Không có thông tin,Không có thông tin,6/2/2025,11,Không
Căn hộ chung cư,37,2270000000,3,3,Không nội thất,Hợp đồng mua bán,6/1/2025,7,Dự án Lavida Plus
Căn hộ chung cư,76,,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/27/2025,1,Không
Đất nền dự án,175,20650000000,-1,-1,Không có thông tin,Không có thông tin,4/26/2025,2,Dự án Thạnh Mỹ Lợi
Căn hộ chung cư,180,15800000000,4,3,Không nội thất,Sổ đỏ và sổ hồng,4/26/2025,7,Không
Căn hộ chung cư,60,5000000000,1,3,Không có thông tin,Không có thông tin,4/26/2025,7,Dự án Sunrise City
Nhà riêng,84,,3,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,7,Không
Nhà riêng,88,3600000000,2,3,Không có thông tin,Sổ hồng,5/25/2025,12,Không
Căn hộ chung cư,81.8,9500000000,2,3,Không có thông tin,Hợp đồng mua bán,6/3/2025,2,Dự án The Global City
Căn hộ chung cư,75,4600000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/24/2025,7,Không
Nhà riêng,32,1500000000,2,2,Nội thất cơ bản,Hợp đồng mua bán,5/20/2025,7,Không
Nhà riêng,70,,4,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/9/2025,5,Không
Căn hộ chung cư,55,4100000000,1,3,Không có thông tin,Không có thông tin,5/21/2025,7,Dự án Sunrise City
Nhà riêng,88,5200000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/17/2025,12,Không
Căn hộ chung cư,103,11000000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/22/2025,2,Dự án Estella Heights
Nhà riêng,58,,3,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/7/2025,5,Không
Căn hộ chung cư,130,15000000000,3,3,Nội thất cơ bản,Không có thông tin,5/26/2025,2,Dự án Estella Heights
Căn hộ chung cư,85,7800000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/7/2025,2,Dự án Feliz En Vista
Nhà mặt phố,80,10500000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/19/2025,7,Dự án Nam Long Phú Thuận
Căn hộ chung cư,72.8,6800000000,2,3,Nội thất sang trọng,Sổ hồng,5/7/2025,9,Dự án The Opus One - Vinhomes Grand Park
Căn hộ chung cư,115,5500000000,3,3,Không có thông tin,Không có thông tin,4/26/2025,4,Không
Nhà mặt phố,72,26000000000,3,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,6/6/2025,1,Không
Nhà mặt phố,220,42000000000,6,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,6/7/2025,11,Không
"Nhà biệt thự, liền kề",83,9500000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/7/2025,9,Dự án Park Riverside Tân Cảng
"Nhà biệt thự, liền kề",170,18500000000,5,3,Không nội thất,Sổ đỏ và sổ hồng,4/26/2025,9,Dự án Park Riverside Tân Cảng
Nhà mặt phố,50,19000000000,3,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/30/2025,2,Không
Căn hộ chung cư,72.66,3400000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,7,Không
Nhà mặt phố,96,13000000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,6,Không
Căn hộ chung cư,112,5400000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,7,Dự án An Gia Skyline
Nhà riêng,52.3,6950000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,7,Không
Căn hộ chung cư,104,10900000000,3,3,Không có thông tin,Không có thông tin,6/6/2025,2,Không
Căn hộ chung cư,70,5700000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/10/2025,7,Không
Đất nền dự án,161.2,27400000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/28/2025,2,Dự án KDC Thế kỉ 21
Đất nền dự án,140.6,33000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,2,Dự án Khu dân cư Sông Giồng
Đất bán,140,15400000000,-1,-1,Không có thông tin,Hợp đồng mua bán,4/26/2025,7,Không
Căn hộ chung cư,100.6,10000000000,3,3,Không có thông tin,Hợp đồng mua bán,5/17/2025,9,Dự án The Beverly - Vinhomes Grand Park
Đất bán,95,4800000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,12,Không
Nhà riêng,92,3630000000,2,1,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,12,Không
Đất bán,105,8800000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,70,4950000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/7/2025,10,Dự án Xi Grand Court
Căn hộ chung cư,78.5,15800000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/6/2025,1,Dự án Vinhomes Golden River Ba Son
Nhà riêng,86,17000000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,6/7/2025,10,Không
Nhà mặt phố,77,27000000000,3,3,Không có thông tin,Không có thông tin,6/2/2025,10,Không
Căn hộ chung cư,51,3550000000,1,3,Nội thất cơ bản,Hợp đồng mua bán,6/2/2025,6,Dự án D-Homme
Nhà riêng,42,9450000000,4,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,10,Không
Nhà mặt phố,100,12900000000,2,3,Không có thông tin,Không có thông tin,4/26/2025,2,Không
Căn hộ chung cư,51,3550000000,1,3,Nội thất cơ bản,Hợp đồng mua bán,6/2/2025,6,Dự án D-Homme
Nhà riêng,54.3,4900000000,3,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,50,6500000000,1,3,Nội thất đầy đủ,Hợp đồng mua bán,5/27/2025,1,Không
Căn hộ chung cư,121,37800000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,6/4/2025,1,Dự án Vinhomes Golden River Ba Son
Căn hộ chung cư,51,9800000000,1,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/7/2025,2,Dự án The Galleria Residence
Căn hộ chung cư,90.3,4750000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,9,Dự án Safira Khang Điền
Căn hộ chung cư,59,3000000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Dự án The Origami
Đất bán,199,28000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,2,Không
Nhà riêng,65,,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,7,Không
Căn hộ chung cư,130,10800000000,3,3,Nội thất đầy đủ,Không có thông tin,5/28/2025,2,Dự án Vista Verde
Căn hộ chung cư,86,3850000000,3,3,Không có thông tin,Không có thông tin,5/8/2025,8,Không
Căn hộ chung cư,120,12350000000,3,3,Nội thất đầy đủ,Không có thông tin,4/26/2025,4,Không
Căn hộ chung cư,242,,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,7,Dự án The Panorama
Nhà riêng,80,7000000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,7,Không
Nhà mặt phố,42,7180000000,2,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/17/2025,8,Không
Căn hộ chung cư,53,7000000000,1,3,Không có thông tin,Hợp đồng mua bán,6/4/2025,2,Không
Nhà riêng,36,3250000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,12,Không
Căn hộ chung cư,262,18000000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,6/2/2025,2,Không
Nhà riêng,72.5,,4,3,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,1,Không
Nhà riêng,72.3,,4,3,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,1,Không
Nhà mặt phố,102,23000000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/8/2025,9,Không
Nhà riêng,78,,3,2,Không có thông tin,Sổ đỏ và sổ hồng,5/24/2025,5,Không
Căn hộ chung cư,192,15500000000,3,3,Nội thất đầy đủ,Sổ hồng,6/7/2025,2,Dự án The Estella
Nhà mặt phố,102,23000000000,4,1,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Nhà mặt phố,175,33000000000,5,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/19/2025,2,Không
Căn hộ chung cư,63.4,2600000000,1,3,Không có thông tin,Sổ đỏ và sổ hồng,6/4/2025,9,Dự án MT Eastmark City
Nhà riêng,80,6050000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,12,Không
Căn hộ chung cư,97,5800000000,3,3,Không có thông tin,Hợp đồng mua bán,5/31/2025,2,Không
Nhà riêng,54,4880000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,12,Không
Nhà riêng,60,6500000000,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,12,Không
Nhà riêng,36,8950000000,3,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,3,Không
Đất bán,123,9500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,12,Không
Nhà riêng,60,6250000000,2,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,6,Không
Căn hộ chung cư,60,11000000000,2,3,Không có thông tin,Hợp đồng mua bán,5/29/2025,2,Không
Căn hộ chung cư,81,,2,3,Nội thất đầy đủ,Không có thông tin,4/26/2025,2,Dự án The Global City
Nhà mặt phố,73,14000000000,1,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/28/2025,7,Không
Căn hộ chung cư,83.4,,2,3,Nội thất cơ bản,Hợp đồng mua bán,6/2/2025,2,Dự án Masteri Grand View
"Nhà biệt thự, liền kề",75,6800000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/23/2025,9,Dự án Mega Village
Căn hộ chung cư,72,6600000000,2,3,Không có thông tin,Không có thông tin,4/26/2025,3,Không
Căn hộ chung cư,67,,2,3,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,67,3200000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,79,4600000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,9,Dự án The Beverly - Vinhomes Grand Park
Nhà mặt phố,104,10000000000,2,2,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,138,14500000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,6/3/2025,7,Dự án Riverpark Residence
Đất nền dự án,100,2550000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/10/2025,8,Dự án Phú Lợi
Căn hộ chung cư,192,15500000000,3,3,Nội thất đầy đủ,Không có thông tin,6/6/2025,2,Không
Nhà mặt phố,54,20000000000,6,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,3,Không
Căn hộ chung cư,143,15500000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/30/2025,7,Dự án The Panorama
Nhà riêng,60,6850000000,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,12,Không
Căn hộ chung cư,80,4600000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,9,Dự án The Beverly - Vinhomes Grand Park
Căn hộ chung cư,80,4600000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,9,Dự án The Opus One - Vinhomes Grand Park
Nhà riêng,56,4790000000,2,2,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,9,Không
Nhà riêng,68,5100000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,74,7000000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/31/2025,2,Không
Căn hộ chung cư,49,4000000000,1,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/28/2025,2,Không
Căn hộ chung cư,83,8000000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,2,Không
Căn hộ chung cư,81,12000000000,3,3,Không có thông tin,Hợp đồng mua bán,5/26/2025,1,Không
Nhà riêng,63,,4,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,3,Không
Căn hộ chung cư,103,8900000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,6/3/2025,2,Dự án Feliz En Vista
Căn hộ chung cư,133,11500000000,3,3,Không nội thất,Hợp đồng mua bán,5/29/2025,2,Dự án Feliz En Vista
Căn hộ chung cư,63,6450000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,2,Không
Đất bán,86,6500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,90,7500000000,2,3,Không nội thất,Hợp đồng mua bán,4/26/2025,2,Dự án Diamond Island
Nhà mặt phố,52,16000000000,4,5,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,6,Không
Nhà riêng,80,5800000000,4,2,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Nhà riêng,54,,4,3,Nội thất đầy đủ,Sổ hồng,4/26/2025,10,Không
Căn hộ chung cư,124,9500000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/27/2025,2,Dự án Diamond Island
Căn hộ chung cư,48,3630000000,2,3,Không có thông tin,Hợp đồng mua bán,5/17/2025,2,Không
Nhà mặt phố,172,6190000000,6,2,Không có thông tin,Sổ hồng,5/12/2025,12,Không
Nhà riêng,67,5900000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Căn hộ chung cư,80,3900000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,4/25/2025,4,Không
Nhà riêng,58,,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,1,Không
Nhà riêng,60.2,,4,3,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,10,Không
Nhà mặt phố,133,27000000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/7/2025,10,Không
Nhà mặt phố,110,32000000000,3,6,Không có thông tin,Sổ đỏ và sổ hồng,5/29/2025,2,Không
Nhà riêng,67,23000000000,5,4,Không có thông tin,Không có thông tin,4/26/2025,1,Không
Căn hộ chung cư,121,8200000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/30/2025,7,Dự án Nam Khang
Nhà mặt phố,52.2,35000000000,3,7,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/18/2025,4,Không
Đất bán,115,8900000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Không
Đất nền dự án,112,6600000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/21/2025,9,Không
Căn hộ chung cư,97,3800000000,2,3,Không có thông tin,Không có thông tin,4/26/2025,6,Không
Nhà riêng,51,4150000000,2,2,Không có thông tin,Sổ đỏ và sổ hồng,5/14/2025,12,Không
Nhà riêng,270,23000000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,5/31/2025,11,Không
Nhà mặt phố,135,38000000000,3,4,Không có thông tin,Không có thông tin,5/21/2025,10,Không
Căn hộ chung cư,80,9500000000,2,3,Không có thông tin,Hợp đồng mua bán,5/20/2025,2,Dự án The Global City
Nhà mặt phố,102,16000000000,3,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/17/2025,11,Không
Căn hộ chung cư,72,3200000000,2,3,Không có thông tin,Không có thông tin,4/26/2025,5,Không
Nhà riêng,65,,4,3,Nội thất đầy đủ,Sổ hồng,4/26/2025,4,Không
Căn hộ chung cư,69,2500000000,3,3,Không có thông tin,Hợp đồng mua bán,4/26/2025,12,Dự án Topaz Home
Nhà riêng,158,6500000000,5,3,Không có thông tin,Sổ đỏ và sổ hồng,5/30/2025,12,Không
Nhà mặt phố,76,17000000000,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,6/7/2025,11,Không
Căn hộ chung cư,97,8000000000,3,3,Không có thông tin,Không có thông tin,4/26/2025,7,Không
Nhà mặt phố,72,14000000000,3,3,Không có thông tin,Không có thông tin,5/17/2025,11,Không
Căn hộ chung cư,120,7950000000,3,3,Không có thông tin,Không có thông tin,4/26/2025,1,Không
Nhà riêng,57,,2,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,2,Không
Đất nền dự án,114.4,11250000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,6/3/2025,2,Dự án Thạnh Mỹ Lợi
Đất nền dự án,160,36800000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,6/7/2025,2,Dự án Huy Hoàng
Đất nền dự án,100,20000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,2,Dự án Huy Hoàng
Nhà riêng,68,,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,3,Không
Đất nền dự án,100,6300000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,6/3/2025,2,Dự án Khu đô thị Cát Lái
Đất nền dự án,100,12700000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,6/7/2025,2,Dự án Thạnh Mỹ Lợi
Căn hộ chung cư,85,12800000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,4/26/2025,2,Dự án The River Thủ Thiêm
Nhà riêng,85,,4,3,Không có thông tin,Sổ hồng,4/26/2025,5,Không
Nhà mặt phố,90,10500000000,6,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,12,Không
Đất bán,216,26500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,2,Không
"Nhà biệt thự, liền kề",128,,5,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,1,Không
Căn hộ chung cư,73.4,4060000000,2,3,Không nội thất,Hợp đồng mua bán,6/1/2025,7,Dự án Lavida Plus
Nhà riêng,54,4590000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,9,Không
Căn hộ chung cư,232,25000000000,3,3,Không có thông tin,Không có thông tin,5/28/2025,2,Không
Căn hộ chung cư,59,3150000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,4/26/2025,9,Dự án Glory Heights - Vinhomes Grand Park
Đất bán,76.6,3850000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/21/2025,8,Không
"Nhà biệt thự, liền kề",160,43000000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,2,Không
Căn hộ chung cư,74,4150000000,2,3,Không nội thất,Hợp đồng mua bán,6/1/2025,7,Dự án Lavida Plus
"Nhà biệt thự, liền kề",158,37000000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,2,Không
Nhà riêng,58,7700000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,12,Không
"Nhà biệt thự, liền kề",84,13800000000,3,5,Không nội thất,Sổ đỏ và sổ hồng,4/26/2025,9,Dự án  The Manhattan Glory
Đất nền dự án,90,8550000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/11/2025,9,Dự án KDC Nam Long
Nhà riêng,67,3600000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,12,Không
Căn hộ chung cư,80,5300000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/26/2025,2,Không
Nhà riêng,67.8,22000000000,7,4,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,1,Không
Căn hộ chung cư,181,18800000000,3,3,Nội thất đầy đủ,Không có thông tin,6/7/2025,2,Dự án Feliz En Vista
Căn hộ chung cư,68,3450000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/10/2025,8,Không
Đất nền dự án,161.25,27735000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/31/2025,2,Dự án KDC Thế kỉ 21
Đất nền dự án,220,,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/13/2025,8,Không
Nhà riêng,100,3200000000,2,1,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/7/2025,12,Không
